제목,본문
김밥 먹고 임플란트 하게 됐어요,너무억울하고답답해서글올립니다아래에요약있습니다년월일저는점심시간에직장동료언니가사온포장용김밥으로식사를권유받아근무처층에있는야외정원등나무아래벤치에서컵라면두개와문제의그김밥으로식사를하였습니다그런데식사도중딱’하는소리와동시에이물질을씹었고치아가심하게아팠습니다하지만식사를하고있는동료언니에게식사도중씹은것을보이게되면식사시간을불쾌하게만들게될것이라는생각과시간이조금지나면치아통증이가라앉을것이라는생각을했습니다그래서전씹었던이물질을남은깁밥과함께포장용지에싸서조용히처리를했습니다이에동료언니는괜찮냐고물어보았고전시간이좀지나면나아지지않겠나며얘기했습니다그렇게점심시간을보내고오후근무를하는데치아가점점더아파지기시작했습니다올라가서쓰레기통을뒤져볼까잠시고민도했구요하지만근무중이라어찌할수없어결국오후시에퇴근을했습니다퇴근후집근처치과에서를찍어보니선생님께선제가생각했던것보다심각한얘기를하셨습니다제윗쪽작은어금니에금이간사진을보여주시며치근파절이라고말씀을하시더군요전솔직히당황스럽고혹시나이선생님의오진이아닐까하는생각에아픈치아를참고다음날토요일타병원에가서또를찍어보니같은말씀을하셨습니다지금은금이가있는상태이지만치근이파절이된상태라서곧치아가떨어져나갈거랍니다그럼임플란트를해야한다고하셨습니다의사선생님께제사정이야기를하곤치아가너무아파서발치를했습니다이후월요일출근길에동료언니와함께혜화역지하에위치한판매처를방문해남자사장님연락처를물어서받아왔습니다어렵게사장님과연락이닿아며칠뒤에만났습니다그런데사장님께선약속을두번이나어기시더라구요처음에는약속시간에도착하지않으셨길래연락드리니약속시간분뒤에나도착한다고하셨습니다두번째는사장님이분명제가있는송파로온다고약속하였는데약속시간에혹시나해서연락을드리니지금본인은경기도양주에있답니다그렇게미루고미뤄서판매처매장에서만나니뜬금없이본인딸이병원에근무하는데치아가그정도이면를찍었어야하지않았냐고얘기하시더라구요안찍은걸찍었다고할수없기에를찍지않았지만치과를두군데나방문해서치근파절진단을받았다고말씀을드렸습니다옆에서여자사장님이얘기를듣더니본인들은제조를해서판매하는것이아니라제조업체를통해서가져와판매를하는곳이니제조업체연락처를주겠다하지만혹시라도업체에서배상을해주지않으면본인판매처에서일부라도변상을하겠다고말씀을하셔서순진하게그말믿고왔습니다이후제조업체측에연락을했지만거기선절사기꾼취급을하면서전화를끊어버렸습니다그래서전소비자보호원을통해서진정을했지만그제조업체에서는우편물을수령하지않았고김밥에명시된업체대표번호는결번이라며판매처에진정을해보라는권유를받아판매처에소비자보호원을통해서진정을했지만결과는똑같았습니다그판매처사장님은제전화도받지않았고이에동료언니가일부책임을약속했던여자사장님연락처라도주라고전화를드렸더니당사자가아닌사람이왜전화를하냐고하더랍니다그래서제가연락을드리니연락드리겠습니다’메시지만뜨고계속전화를받지않고있습니다전너무억울하고답답합니다단지임플란트비용의문제가아니라제상황이너무어이가없고정말재수가없으려니이렇게재수가없을수가있나왜바보같이증거를버렸을까주워담을수만있다면시간을되돌릴수있다면저는이번일을겪으면서정신과우울증치료도받게되었습니다대체저한테왜이런답니까믿고먹은게이런일을겪을일인가요전그냥바보같이믿고먹은것뿐이네요이일을계기로저는직장동료들과의자리도피하고있고거울을보면비치는치아빠진제자신이정말한심스럽고제모습이너무나속상합니다그리고잘보이지는않지만자료도있습니다너무나속상한건그가야외정원에있는데등나무와흐린날씨로식사를하는제모습만보이고정작김밥내용이보이지가않는다는것입니다증인있고증거도있는데정말억울하고화나서소송도고려해보았지만여차하면배보다배꼽이커지겠더라구요그래서이글이라도써서한풀이좀해보려고합니다아침출근길마다혜화역그판매처를봅니다항상장사잘되고있더군요혹시나하고김밥을파는지가보니역시나그김밥을버젓이팔고있습니다그가짜대표번호도버젓이붙혀서요몇년전에는제조업체가식품위생관리법위반으로단속도당했던데참양심도없지요이렇게손해를끼쳤으면미안하지않을까요일부라도변상하겠다는분은그양심어디파셨나요물어보고싶습니다요약포장김밥을먹다가이물질로인해치근파절로임플란트를하게됨판매처에서는일부변상을약속한뒤제조업체전화번호를알려줌제조업체에서는사기꾼취급하며연락끊음소비자보호원을통해진정했지만업체측에서우편물반송김밥에명시된대표번호는결번이라함한편판매처에서도전화받지않고있음이일로정신과에서우울증치료받고있으며직장동료와의약속일절피하고있음증거
다음 생에는 다이아수저집 개로 태어나,원해서키운개는아니었어흔하디흔한시골개들처럼미터줄에묶여지내고농협에서파는싸구려저급사료를먹지만적어도우리집에있을때만이라도행복했던기억으로남았으면좋겠다일반가정집에서사랑듬뿍받으며고급사료고급간식한번아플때동물병원한번을데려갈수없는처지라하루여섯번산책만이너한텐유일한삶의즐거움이겠지능력없는주인이라미안하다
안친한 남사친이 밥먹자 하면,어디서만난안친한남사친이면같이밥먹을것임
그립긴한데,다시만나는건아닌거같아이미끝난사이고이제난더이상그사람한테설레는존재가아닐거고나또한마찬가지고그사람과의행복한기억도결국과거니까다시만난다한들헤어질때기억이너무커서다시쌓아올리기가힘들거같아그때왜그랬을까자책할것도아니야이미끝난건끝난거야
스타1 프로게이머였던 이영호가 공익으로 간 이유,어릴때연습빡세게하다가프로게이머최초이자마지막으로야구에서혹사당한투수들이나받는토미존수술함__
외도 의심해 아내 sns 열어본 남편...,워__
(추가)결혼하자는게 문제인가요?,동갑인여자친구랑년좀안되게만난살입니다제가여자친구한테함께지내자했지만여자친구가동거는싫다해서혼인신고하고결혼하자했어요근데여자친구가고민을하네요전천만원정도있고여자친구가모은돈천정도있어같이합쳐경기도외곽쪽에가자했는데망설이고대답을안하네요저는정말다른욕심없고가정꾸려서평범하게사랑하는사람과살고싶은데월세동거도싫다하여제가대출좀해서전세혼인신고하자고한거거든요나이도나이라확실하게해야지이대로있다가는나중에어떻게될지모르잖아요그래서전빨리해결하고싶은데여자친구는저와결혼할생각이없는건가요계속재촉하는제가문제일까요여자친구는지금처럼평범하게좀더연애하면안되냐고해요동거도싫고경제적으로결혼도힘들거같다해서제가대책안으로이야기한게외곽으로가자는거였거든요이건더좋은사람나타나면떠날수있다는거로밖엔생각이안됩니다주변에선여자친구가절연애상대로만생각하는거같다고하고미치겠어요솔직한조언부탁드립니다세때부터혼자독립해살고모을만하면일이터지고해서돈모은게적은거사실입니다저도알고있고집을할경우여자친구의명의로하고같이억이상정도대출받아서갚을생각이에요아이는최대한늦게낳을거구요제주변에는서로가진거없어도함께힘내서시작하는분위기인데여자친구는그게아닌가봅니다함께살자고무슨제안을해도확실하게대답을하지않아이제너무지치네요제가답답한건아니면빨리아니라고할것이지계속하는얘기가저는정말좋은데부모님도환영하시고조금더돈모으고믿음이더생길때하제요믿음이제생각엔함께있어야생기는거같은데말이죠여자친구가그냥결혼생각없는데저재는거같아요
요즘 사주는 요즘 기준으로 봐야 한다,__
어리고 예쁜 아내와 살고있는걱  후기,짜증낼때도얼굴보면어이구우리여보웃을때도우와역시하트뿅뿅밥먹을때도얼굴을자꾸보게되고자다깨면아내의자는모습을보게되더라할수만있다면젊고예쁜여자랑결혼하자
한강 의대생 그냥 친구가 범인이길 바라는거 같음,글보면걍그친구가범인인거확정짓고짜맞추고있음경찰발표있을때마다짜맞춘게맞으면봐라맞다역시친구가범인이다’이러고있고경찰이짜맞춘것과아니라고하면경찰이견찰했다아비가경찰과관련있다는데덮으려고수쓴다’이러고있음진짜뭐하냐과몰입좀적당히좀냉정히봐야지공개되는모든것을그냥친구가범인인걸로끼워맞추고있으니뭐경찰이아니라고해도절대안믿을듯
백지에 함부로 싸인하면 안되는 이유,__
민트초코 발명,__
사회생활 잘하고싶은데.... 이리저리 휘둘려서 너무 ...,안녕하세요저는대초사회초년생입니다살에대학교졸업하고이후에도알바개정도를해봤긴했습니다만솔직히말하면저는개전부다공통점이오래하지못했다는점입니다근로학생대학생시절때그나마개월가장길게했음이건혼자하는일이라터치없어서가능공장에서창고정리포장알바주도서관사서보조주공공근로방역개월정도계약기간이였고개월만료후연장제의왔지만윗사람에게욕먹는게싫어서거절알바를다니면서여러가지화난것도있었고억울하게당한것도있습니다만제가느낀점이제가판단력이없어서대처를잘못해서일이터진게아닌가싶습니다또욕한마디에멘탈이흔들리고말해야할타이밍참아야할타이밍을못잡는한마디로눈치가없는제가너무싫습니다예일이하나있었는데사고가났습니다저의잘못바로윗사람잘못이였습니다근데윗사람이라는직급이용해서저의잘못으로몰았습니다이때제가어떻게했어야하나판단을못한제자신이미웠네요제잘못이아예없다고할수는없어서뭐라할수도없고예공장에서일차알바하고있었는일인데사수가저하는거보고답답했는지일처리가느리다고합니다계속뭐라뭐라하면서너군대보직어디나왔냐물어봅니다통신병이라고대답했더니꿀빨다왔네부잣집아들이네이런소리하니까솔직히그놈한테도열받고제자신한테도화가나서멘탈나가서때려쳤거든요사실이거말고도사연더많은데생략하겠습니다글을올린이유는제가회사에취직하더라도알바할때처럼이리저리휘둘리고욕먹고멘탈나갈까봐무섭습니다이리저리안휘둘리게판단력을기르고싶습니다님들은욕먹을때어떻게대처하나요죄송하다고해도계속뭐라하고대답안하면대답안한다고내말씹냐이렇게나오네요사회초년생이사회생활좀잘하는팁이라던지사이트링크된거있으면공유좀부탁드립니다
다시 만나면 진짜 잘할자신있는데..,딱한번만다시기회줬으면좋겠다나진짜잘할자신있는데
아들부심 심한 친구 어쩌죠?,타지에서이사와서친구가없다가조리원에서친구를만들었는데그동기가아들부심이넘심해요볼때마다자기아들너무잘생기지않았냐여자애들이줄을설꺼다등등저희아기는딸인데저희딸볼때마다너우리이한테반했지라고하고그냥우연히딸애가남자애쪽으로우연히고개돌린건데저희딸애가자기아들한테반해서고개돌렸다둥첨엔그냥웃고넘겼는데점점기분나빠지더라구요만날때마다자기아들자랑하는동기이런경우어떻게반응하는게옳을까요
통닭집 포장봉투 논란,__
아빠가 밥을 안먹어요,본카테고리에써도되는내용인지모르겠지만마음이답답하여몇자적어봅니다안녕하세요이렇게글을쓰게된계기는가족사때문입니다본론부터말하자면부모님이다투셔서아빠가밥을드시지않습니다정확히는엄마가하는밥을요저희아빠는대체로새벽시쯤출근하여저녁시시쯤퇴근을하십니다아빠는퇴근하시면가끔씩청소기를돌리고대부분휴식을취하는편입니다한편저희엄마는시반쯤출근하여저녁시분쯤퇴근하십니다새벽출근을하는아빠를위해엄마는아빠가출근할때같이일어나아빠의도시락을싸고간단하게과일쥬스를만들어주고배웅을합니다그리고저녁에퇴근하시면쉬지못하고아빠와저의저녁을차려주십니다그렇게저녁을준비하고설거지를하고간단한집안일을하면시간은시정도쯤되고새벽출근하는아빠는가족들이늦게까지깨어있는것을좋아하지않기때문에대체적으로시분부터는집안에불을다끄고잠자리에들준비를하기를원하십니다그래서엄마는하루중당신의시간을거의보내지못합니다이런일상이반복되던중사건은약주전에일어났습니다평소와같이엄마가저녁을준비하던중아빠가냉장고의빵을먹어도되냐물어보았는데엄마가약간의짜증을내며대답을했다는이유로갑자기크게화를내었습니다그때대화는정확히기억이안나는데아빠가내집에서내가눈치보면서밥을먹어야하냐며큰소리쳤던것은기억납니다그래서엄마가힘든점을토로하며이런이유때문에짜증이났다라고설명했지만아빠는들은체도하지않았습니다그이후로쭉엄마가오면방에들어가서나오지않고밥을차리고먹으라고해도절대먹지않습니다참고로아빠는굉장히가부장적이고본인의잘못을지적하면인정하지않고오히려상대방을깎아내리는성향이있습니다이런성향으로옛날부터많이다투셨습니다또한폭력적인부분이있어더다툼이커지기전에상황이마무리됐으면좋겠는데저는이상황에서어떤태도를취해야하는지모르겠습니다솔직히말하면아빠가정말이해가안되고이상황이너무답답합니다
결혼안한 중년 어떤시선으로 보이시나요?,올해나이이고미혼입니다아무래도결혼하신분들이공유하는판에글을올려보는게형평성에맞는결혼관에가치기준이판단근거가될거같아서제글을올리게됬는데요몇일전종합병원을갔었는데이유는밤에소변횟수가늘어서깊이잠이들다가도시간에한번씩아침에취침전까지번정도깨는게굉장히피로감도가중되고수면에방해를주어서비뇨기과한의원방광을전문으로본다는한방병원까지도시간을내서진료를받아보았습니다그런데한의원에서는출산경험이나결혼유무를물어보지도않고언급은안하지만일반병원이나종합병원같은곳은반드시출산경험과아이에대한질문과함께비뇨기과든산부인과든아무리결혼안한미혼이라고하여도진료목적으로항상질문을하십니다그런데몇일전마지막으로들려봤던병원에서비뇨기과남자쌤이였는데당연히제나이면중년여성일것이라판단하셨는지아이낳은횟수와질환에대해서물어보시길래결혼안했다고하니깐갑자기얼굴색이바뀌더니먼가안좋게보는시선먼가문제있게보는시선갑자기말투가달라지면서사람을대하는한심하게느끼거나순진해서결혼을못한거처럼먼가미혼이라고하기전과그말을하고나서는대하는말투달라지는눈빛표정너무불편하고부담느낄정도로대개거북함을느꼈습니다그리고구지검사를여러개받지않아도될거같은데무슨검사무슨검사더까다롭게대하는거같아서진료를취소하고한의원으로발길을다시돌렸습니다물론제나이면결혼해서아이가둘정도있어야하고그아이들이현재다성장해서제앞가림할나이가된건맞습니다그런데결혼에인연이닿지않아서혼기즉때를놓쳐서못한결혼이무슨사회에큰죄를진것도아니고왜그렇게남자들입장에서는살아본사람들남자시선에서는결혼안한중년나이여성들이그렇게안좋게보이는이유가대체멀까요본인들하고아무상관도없는여자들인데기혼이든미혼이든그렇게사회적으로살먹어서결혼안한게주홍글씨달고다니듯그렇게안좋게보이고먼가불쌍해보이고때로는한심해보이고또는특이해보이고남편자식없이중년나이가되어서살아가는여성들이그렇게문제가있어보이고시선태도갑자기달라질정도고그리고그의사쌤아니더라도여자가중년나이가됬음에도한번도결혼안한미혼으로평생살았다는게숨기고살아야하고감추고살아야할만큼자신감없는인생일까요결혼이라는게어느누구한테는쉬운일일지몰라도어떤이들한테는좋은사람만나는게쉬운일이아니다가혼기놓쳐서노처녀되다가정말선택받고선택할남자없어져서중년나이된사람들도주변에있지않나요그게떳떳하지못할남한테안좋은시선떳떳하지못한감정외로움을숨기고살아야하는마음본인도힘든데세상살다가주변에서그런시선보낼때왜힘들어도결혼을젊었을때선택하지않았을까괜한후회도되긴하지만이미버스는타난거고인생은한번뿐인데중년나이에미혼으로평생살다가결혼이쉬울리는없죠결혼은안하고중년나이세가됬다면그렇게안좋게보이고먼가문제있어보이나요그리고여자로써안쓰럽고불쌍한건가요
"남편의 외도, 가출, 상간녀의 뻔뻔함. 도와주세요",남편이바람이나서집을나갔습니다아니라고빡빡우기고다때려부수고나가더니상간녀임신했다며이혼해달라며연락왔어요남편에대한증거는충분하고상간녀에대한증거가부족해직접만나서녹취를했습니다상간녀하실말씀있으시다고저네저사과받으러왔어요상간녀사과요저한테첫마디가저거였어요유부남만나신거맞지않느냐고해도뭐결과론적으로는그렇죠호적상으로는너무나도뻔뻔하고기가막힙니다이사람들주변에소문을내고싶은데문제가커지고피해자인제가소송이걸리게될까봐요여기에올리면신상밝혀주고퍼트려주는힘이있다길래혹시나해서글을올려봅니다친한친구들연락처도다아는데꼭주변에밝히고싶어요어떻게방법이없을까요아익명이라피해가없는건가해서글을올려봤습니다여기서도고소를당하는줄몰랐습니다죄송해요년전에판글을읽을때에많이들찾아주시고하시길래문제가없는줄알고어떻게방법이없는지여쭤본거였어요변호사는고용한상태이며진행중에있는데상간녀와전남편주변에알릴방법이있는지궁금했습니다
매트리스 찌른내 어떻게 없애요,남편이술먹고자다침대에다오줌샀는데이거찌른내어떻게없애야되나요비싼매트리스라버리기아까워서요
남편월급,남편월급이대인데만원입니다이직을권유했고이제정신차리라고했지만백수도아니고직장생활열심히하는데문제될게없다고합니다둘다흙수저집안이라빚으로시작한결혼생활이라이런저런대출금에생활비까지정도나갑니다고정비가정도나가고생활비가정도나옵니다아이는없고인가족입니다빚이많아고정비가많이나가는건데더아껴써야된다고합니다우리부부씀씀이문제라고합니다제가이상한걸까요저희부부먹으라며거의다상한딸기같은걸사다주는시댁의가정환경영향인걸까요이상황에아이는원합니다시어머니도얼른낳았으면좋겠다고합니다이전에대화할때본인은아이를싫어한다고혹시우리부부가부탁할까봐가드치신분이본인아들벌이를뻔히아시는분이저런말을합니다이번생은그냥인생시궁창으로망한것같아요친정엄마한테죄짓는거같아이혼은할용기가없는데모든걸포기하고그냥살아가면그게정답일까요
바쁜척하고 관심없는척하고,미안해그냥어색해서그랬어넌무시받았다생각할수도있지만긴장되는상황이면오히려난그래
생모를 찾겠다는게 나쁜년인가요?,어린시절살어느날지금의어머니가나타나시기전까지는엄마가없었어요살어느날인가내엄마라며한여자가나타났고지금의저희어머니세요아빠가힘들다고할머니집에맡겨놓은저를같이살아야한다면서집으러데려가주신분도어머니시네요많이맞고자랐지만매만맞은게아니고혼낸뒤에는안아주시면서뭘잘못했는지생각하고다시는그러지말라고하시며잘키워주셨지만생모는얼굴도몰라요초등학교학년쯤인것같은데기억속에할머니집장농을정리하던날보았던낡은봉투에주소와이름이기억에남았어요이유는모르겠는데그냥그이름이랑주소의동이기억에서안지워졌어요그게대학시절에우연히봤던호적등본이란서류에제적되어있는이름과매치저를낳아주신분이라는것을알게되었어요사실돌아가신줄알았거든요근데사망이아니고이혼제적그때는심장이콩닥뛰고외면하고싶고그랬었는데제가내년월에결혼을해요결혼을앞두고있어서그런지저를낳아주신분이참궁금해지더군요그래서그봉투와호적등본봤었다는것을말하며결혼앞두고했으니까그냥나잘커서결혼한다는것만이라도알리고싶은건데아빠는저보고불효녀라고하고어머니는당신한테섭섭했냐고우시고할머니는천하에나쁜년이라며욕을하시네요내가내엄마찾아가서어떻게하겠다는것도아니고그냥저도엄마가될꺼니까그리고어떻게생겼는지가궁금해서그런건데이렇게가족들한테나쁜말을들어야하나마음이안좋습니다
깜박이 안켜서 벌금내는 법 대체 언제 생겼나요?,
우리가 헤어진 이유는,더이상사랑하지않아서임사랑하는마음이남은연인들은잠깐헤어졌다가도여기상주할필요도없이서로그리워하며재회함뭐이별할때주절주절하는말은그냥대부분변명임왜냐면정말마음식어헤어지자고하는사람들은그이유를절대곧이곧대로말하지않기때문그냥마음이식고사랑하지않고보고싶지않으니헤어지는건데오래만나고정들고미안한사람에게차마그렇게말할순없으니구구절절이유를만들어붙이는것임상황탓이든상대방탓이든과거의일이든흘려듣고그냥사람마음이변한다는걸받아들이면해결됨너희이야기를안들은게아니라듣기싫은거고맞춰가는노력을안한게아니라맞춰갈마음이없는거다아무이유없이도헤어질수있는게연애고결혼이랑은다름애초에연애할때상대에게책임요구하는것도웃기고마음바뀌면언제든남될수있는애초에남이었던사람에게너무큰기대하지말고나자신은내가챙길줄알아야지아날안사랑하는구나이걸못받아들이면스스로괴롭고상대방원망하며본인의삶과시간을갉아먹을뿐
조용한 남자는 호감표현 어케해?,제곧내
5월 26일부터 전세계 맥도널드 점포 유니폼 교체,국내보다외국에서의인기는차원이다르네요__
월수익 800백만원 찍는 배달맨 1인칭 ㄷㄷㄷ,__
저격글로 사람 피말리는 시어머니,울화통이터져서밤꼴딱새고글올려봅니다혼자선답이안나오고뒷목만점점아파오네요남얘길습관처럼하시는분이계십니다대여자애들도안할법할누구하나화장실가면흉보거나선동하는그짓거리요평소에질릴수준으로남얘기를한답니다옆집아줌마부터지나가는사람쉰내난다등등사소하고작은꼬투리하나안놓치세요다행히아기낳고이사해서왕래는없지만전화나문자수시로옵니다다툴일이뭐있겠어요다만자기남욕하는거듣는둥마는듕하거나맞장구를안치면팽하고삐지십니다그러고채분도안되서카톡상태메세지를변경해놓으세요웃기죠애도아니고삐진티를내는건지아님이사실을굳이남들과공유하고싶으신건지심리를모르겠어요왜그러는걸까요자꾸철학적우로샹각허게되네요왜남욕을해야만대화가가능하고남한테관심가지고험담해야속이시원할까요싫어하는한두명도아닌당신남편까지흉봅니다빨래를해야하는데속옷을뒤집어놓으니비위가상한다는둥나이먹고얼굴주름이밉다는둥제자로써너무민망한얘기까지자주보는것도아니고연을끊을사유는못되서그냥오는전화만받는정도입니다다만통화했다하면분기본남얘기뒷담둘어줘야허고꼬박꼬박편들어줘야합니다어제는저도감정소모를하니지친다는얘기를드리니이번엔또아가씨한테쫄래일렀는지저한테영혼없이라도그냥들어주라며커피기프티콘까지주네요아가씨는바빠서못들어주신답니다저는노나요어머님판참좋아라하시죠근데당신며느리인지아닌지알길은없네요제가저격당할때는그냥다른사람이라면서요유치하지않나요찔리눈부분이있다면제발남얘기할땐입무겁게합시다
시누이 결혼식 한복,시누이결혼식앞두고있는데요기혼자들은보통한복입는다고하는데결혼식날어떻게입으셨나요그리고만약한복대여하신분들은시어머니시누이한복대여하러갈때같이가서대여해주셨나요셀프로대여하셨나요
미국 주의회 화상회의 대참사,운전중휴대전화사용을금지하는법안을심의하는화상회의를운전중에참여하면서집에있는것처럼배경을주작했다가걸림__
결혼하자는게 문제인가요?,동갑인여자친구랑년좀안되게만난살입니다제가여자친구한테함께지내자했지만여자친구가동거는싫다해서혼인신고하고결혼하자했어요근데여자친구가고민을하네요전천만원정도있고여자친구가모은돈천정도있어같이합쳐경기도외곽쪽에가자했는데망설이고대답을안하네요저는정말다른욕심없고가정꾸려서평범하게살고싶은데월세동거도싫다하여제가대출좀해서전세혼인신고하자고한거거든요나이도나이라확실하게해야지이대로있다가는나중에어떻게될지모르잖아요그래서전빨리해결하고싶은데여자친구는저와결혼할생각이없는건가요계속재촉하는제가문제일까요여자친구는지금처럼평범하게좀더연애하면안되냐고해요동거도싫고경제적으로결혼도힘들거같다해서제가대책안으로이야기한게외곽으로가자는거였거든요이건더좋은사람나타나면떠날수있다는거로밖엔생각이안됩니다주변에선여자친구가절연애상대로만생각하는거같다고하고미치겠어요솔직한조언부탁드립니다
남친핸드폰에 문자,방탈죄송합니다남자친구핸드폰에이런문자가왔는데이상한업소일까요본인은죽어도모른다고잡아떼길래요
보고싶어,우린너무자주싸웠지짧은기간동안깊이는너무깊었어헤어나오기가힘들어정반대의성향을가진우리가맞춰보겠다며애썻어난왜나만맞췄다고생각한걸까미안해내가무섭고두려워서먼저너를놔버렸어근데지금넌아무렇지않아보인다너무보고싶어내자신이초라하고구질구질해내가놔버리고서는힘들어하네너없으니너무힘들다고얘기했는데잡진않더라난너한테그정도인존재니
눈은,아름답게반짝이고당신의목소리는듣기좋아서자꾸만다시듣고싶고명석하고지혜로운당신의말들은카리스마가넘쳐요잊지못할그대담생에연인으로꼭만나요
일반명사가 되어버린 브랜드들,__
논란의 돈 갚기,__
갑자기 안쳐다보는 이유,학교에서매일마주치는짝남이있는데예전엔내가쳐다보면걔도날보고있어서눈이마주칠때가많았어그리고가끔눈마주쳤을때안피하고계속쳐다본적도있고근데요샌내가쳐다봐도내쪽을안봐여친생긴것도아니라는데왜그런걸까나랑뭐한것도없는데싫어진걸까
너는 왜 나를 아쉬워하지 않을까,옛날에싸이월드시절부터인터넷상에돌아다니는감성글귀를읽는걸좋아했어요그게슬픈것이든행복한것이든사랑이라는감정에대한누군가의표현을읽고공감하는거말이에요그중에서내가정말오래간직하면서공감하는글이하나있어요자도자도모자란아침잠처럼나는네가늘부족했는데너는왜나를아쉬워하지않을까일부러네전화를안받고문자답장도늦게해봤지만그래봤자애타는건언제나내쪽이었어참고참다한시간뒤에답장을해도넌그냥평온한목소리로많이바빴냐고물었으니까가장좋아하는너와있으면서도애정결핍에시달리고내마음을의심하지않는다는이유로너를불안해하고너와사귀면서도나는너를짝사랑하고널그렇게나좋아하면서도날마다너와헤어지는걸상상했어한번쯤은너도초조해하는모습을보여줬으면한번쯤은나도네사랑이넘쳐서귀찮아봤으면이공허한마음이채워졌을까누가쓴글인지모르겠지만어쩜이렇게내마음을잘표현해두었을까왜매일나만너를아쉬워하는것같을까요나는벌써통화를끊어야하는것이너무아쉬운데너는이정도면됐다생각하고나는며칠만나지못하는것이너무아쉬운데너는그저어쩔수없다말하고나는둘이서만시간보낼수없는것이너무아쉬운데너는굳이그런시간이필요하지않아보이고나는네가오늘뭘입었는지뭘먹었는지잘지냈는지알수없어너무아쉬운데너는나를그다지궁금해하지않고나는먼귀갓길가는너와함께할수없어너무아쉬운데너는이제너의자유시간을즐기고싶어하고나는내귀갓길에너와함께할수없어너무아쉬운데너는그러면잘들어가라는한마디와도착했으면쉬라는한마디로충분하고왜매일나만너를아쉬워할까요작년추석이었던것같아요둘다하루종일집에있던날무려시간동안이나연락이없었지요내가답을하지않으면혹시나를아쉬워할까기다리고기다려봐도너는전혀아쉬워하지않더라고요오히려자유로워보였지요좋아하는사람이없었을땐외로움도없었는데네가좋아지면서너무너무외로워지기시작했어요연락이오지않으니외롭고혼자재미있게보던영화가재미없어지고말이지요너를생각하며흘러가는일분일초가외로워서그래서결심했지요이감정이너무힘들다솔직하게고백하고너도이감정도떠나보내자’하지만감사하게도우린사랑에빠지게됐어요하지만이상하게도나는여전히외롭네요위글귀처럼가장좋아하는너와있으면서도난왜애정결핍에시달리고네마음이식은건아닐까불안하고너를짝사랑하는기분이들까요왜가장사랑하는너를결국엔놓아주는상상을수도없이하게될까요너와만나면서외롭지않았던시간은딱두순간이에요잠시라도서로에게집중하지않은시간이없었던우리의첫주그리고日이별직후네가보는모든것가는모든곳하는모든일에서나를발견하고나를그리워하던주그주와주의시간동안너는나를많이아쉬워했거든요나도네사랑이넘쳐서좀귀찮아봤으면좋겠어요함께있을때몸섞지못해안달이나는그런것말고함께있지않을때어떻게라도함께하고싶어안달이나는그런거말이에요오가는길에무조건나와통화해야할의무는없지만오가는길에목소리라도들으며아쉬움을달래는그런거말이에요우리가각자의길을가야했을때함께할수없음을얼마나한탄하고애석해했는지잊지못해서지금이너무소중하게여겨지는그런거말이에요하지만이런이야기를한다해도너에게는숨막히는한가지의의무’가늘어나는것일테지요나에게는이렇게라도더’라는아쉬움이너에게는이렇게까지더’라는의무가된다는사실이참슬프네요너는기억하지못하겠지만’맨날나만너보고싶어하는것같아’너는나한테궁금한게없나봐’또내가먼저만나자고말했네’아쉬움이쌓여결국입밖으로나온한마디말들이네게는또부담이었을테지요내가너를조금만덜좋아하면좋았을텐데
연애경험 회수에 대한 남녀 차이.,__
