제목,본문
남편 남동생한테 쌍욕 먹었어요,남편이 집안 대소사 다 챙기고 돈번것도 다 그리로 나가요생활비는 쥐꼬리만큼 주고 부모형제들한텐 엄청잘하고 친구들한테도 잘하고이웃들한테도 잘하는데 정작 지 처자식한테는 신경도 안써요요번에 시어머니 소천하셨는데 또 그 모든부대비용을 자기가 다 감당한다는거에요진짜 참다참다 그 슬픈자리에서 폭발을 해버렸어요왜 우리도 여유가  없는데 혼자 비용을 다 감당하냐고아주버님이랑 서방님은 뭐하시는거냐고 화가 잔뜩나서성질부리는데  서방님이 갑자기 욕을해대면서지금 이자리가 어느자린데 난동을 부리나면서죽일듯이 쳐다보고 험한말을 하더라구요도저히 감정붙들고 있을수없어 장지도 안가고혼자 울면서 집에왔네요진짜 너무 서러워요
수진 탈퇴 다음날 올라왔던 기사, 
방탄 지민 정국 품절,이번 방탄 공항에서 입었던거 이쁘다 하면서둘러보고 있었는데지민이 시계 가방정국이 옷 가방 품절이라네엄청 비싸던데 살수있는 사람들 부럽다루이비통에서 아직 안나온거 입은 멤버있던데 출시되면 그것도 품절 뜰까 
대 초반 남자에게 또래 여자 소개해주면 욕먹나요,살 남자에게 살 여자 소개 해주려 하는데 후반인 오빠가 살 남자면 중반 해주라고 하네요또래 여자 해주면 너 욕먹는다고그 살인 언니는 나이는 대지만 진짜 이쁘고 피부도 좋고 과장 안하고 살로 봐요 어디가면대 남자애들도 번호 물어볼 정도니까요어차피 어려보이고 이쁘면 나이 상관 없지 않을까요그리고 지는 나이 안먹나연상을 해준것도 아니고 남자들 웃기네요
로제 오늘 양 갈레 머리 너무 귀엽슙니당,너무요
와 로제 비율 쩐다,힐 신으니까 더 저 세상 비율됨 
에이티즈 홍중 실망이다,뭐 저리 매일 잘생기냐 홍중이 약간 붉은 계열이 잘 어울리는거 같다이뻐
내 친구  약간 진짜 여자들이 원하는 너드 남임,키 에 덩치 크고 손 크고 발 크고 마른데 근육 있고운동함연예인 진짜 하나도 모름유재석 강호동 아이유 방탄 정도 밖에 모름노래 안 들음 카톡만 함 안 봄가끔 고양이 나오는 채널 본대고양이 키우고 기타도 잘 침잘생겼음콧대도 높고 피부 하얗고깨끗함 방 정리 잘 하고 잘 씻음요리 잘 함꾸미는데 관심 없음 머리도 내가 미용실 가자하면 감학교에서 인기도 많은데 지는 모름친구 별로 없음모쏠임맞춤법 너무 잘 지킴하루 일과가 학교 학원 운동이 끝주말에도 뭐 하냐 물으면 운동하더라근육도 있고 복근도 있고가끔 어디 친구한테서 주워들은 되도 않는 개그같은 거 나한테 치긴 하는데이거 여자들이 원하는 찐따남 같은 거 아님 
저 이 쁘지도 않은데 이 남자가 왜 관심 표현하죠, 
저랑 남자친구랑 대화입니다 누가 말이 안 통하는 건가요 ,안녕하세요  작년말에 상견례하고 내년초에 결혼을 앞둔 예신입니다 코로나와 집값때문에 조금미루자하던게 일년이 지나버렸네요아직 결혼은 하지않았지만 인생선배님들께 조언을 듣고자 글을올립니다제 남편이 될 남친과 한번싸우면 끝이안나는 문제입니다저는 정말 온순한성격이고 그전에 사귀분사람들과는 한번도 이렇게 격하게 싸우지않는데 최근일년간 제남친과는 거의 욕을 하면서 싸우게 되는거같습니다대화를 하다보면 속이 터져 고혈압으로 쓰러질거같은느낑이 듭니다 한번 글을 올리려고했으나 제주관적인 기억으로 쓰면 안될거같아 이번싸움에 녹취를 하였습니다많은싸움중 가장 최근 싸움입니다 남친은 약간 저를 통제하거나 자기의 말 개그 행동이 저에게 영향을 미치는걸 죻아합니다 저또한 수용적인 성격이구요처음사귈때부터 저의 남사친등에 간섭을했고 저또한 니가 그럴거면 나한테도 간섭을 하겠다라고 했습니다 그 간섭의 예를 들면 여사친이랑 밥 먹거나 연락해도된다 어차피친구니까 대신 나한테 말을해달라 이런거였습니다그게 년입니다 그런데 올 월에 갑자기 제가 처음듣는 동네 친구가 있다는것입니다알고보니 명절때 연락은자주왔으나 저랑 사귀느라 한번도 보진않았던 년지기 동네친구였고 그친구가 원래 경기도에 있다가 여기로 내려오게 되면서 최근에 생긴 안좋은일로 밥을 먹기로했다는 것이었습니다 저는 그렇게 저에게 이사람만나지마라 연락하지마라 간섭을하면서 왜 이제껏 이친구를 말하지않았는지 서운했습니다 하지만 다른 제자 여자동네친구도 끼어 명이서 밥을먹는것이었고 저는 똑같이하고싶진 않아서 서운했지만 맛있게 먹고오라고 했습니다그날 세명이서 카페까지 놀고 헤어진걸로 알고있습니다그리고 그후 제가 평소 제일친했던 직장선배가 다른 기관에 저와 비슷한 업무인 후배를 소개시켜주면서 서로 자료공유를 하라고 친해지라하면서 점심을 같이먹자고 연락이 왔습니다 그선배 후배둘다 남자입니다제가 물어보니 남친은 딱잘라 아니라고하였습니다  여기서부턴 녹취한 내용입니다남 안돼  나는 반대할게나 왜 그냥 점심이고 너그때 동네친구도 내가 한번도 못들었던 사람인데 결국 만났잖아 난그때 안서운했는줄알아남 그땐 동네친구였고 내가설명했잖아 그냥 명절때만 연락와서 말안한거라고나그럼 그때 다른 동기 집 놀러갔을때 여자 동기한명있었잖아 그때 다같이잘놀았잖아 그거랑 비슷한상황아니야남 그건 동기였고 너는동기가아니잖아나 그럼 무조건 똑같은상황이어야하는거야 니는 명절때만 연락온거다 동기다 그렇게 니상황은 다정당화하면서 나는 그냥 모르는직장후배라서 안된다고남 또 왜그렇게 이분법적으로 흑백논리로 말해 정당화라고 아니 왜내말을 안듣고 니식대로 해석해나 아니 진짜열받네 그럼 나만날테니 니도 똑같이 해라 그대신 무조건 똑같은상황이어야한다남 미안해 그럴필요는없어냐 그때 그 친구들결국만날때 내가 싫은티팍팍냈지 근데 넌 만났잖아 결국 나도 동네친구라니 터치안했고그때 니 미안하다고 제대로했나남 미안하다고 했잖아 그때 명절만 연락한거라 말안한거라고 나 그게 미안하다고 한거였나 차라리 그때 미안하다고 제대로했음 지금 니가 반대하는걸 수긍이라도하겠다남 했잖아 그리고 내가 언제반대했어나 니가반대라며 남 반대가 아니라 걱정이라고 그후배가 이상할수도있는데그리고 나 사과제대로했었다나 아니 하  너랑 나랑 분명히 여사친 남사친연락은 바로 말해주기로했었는데 니가 약속을 어긴거였잖아 그래서 내가 뭐라한건데  그때 니는 계속 명절때만 연락한거다 어쩔수없었다 계속 그러다가 마지막되어서야 미안해라고 툭내뱉듯이 했잖아 그게 무슨사과야남 툭내뱉듯이 내가언제그랬어 그리고 미안한거당연한거니까 내가 말안한거고 명절때 연락온게 전부라 너를 속인게 아닌데 니가 계속 몰아세우니까 아닌건 아니다라고 말하다보니 그말만먼저한거야나 그건 뭔이상한소리야 미안한게 당연한건데 왜 말을안해 말안하면 내가어쪼아는데남 너는 왜 니식대로만 생각해 왜 내말을안들어 왜 이해를 안하려고해그리고 왜 옛날일을꺼내나 아니로루기모로라오리류로루로기위 내용은 거의 한시간넘게 통화한내용을 최대한 요약한거예요제가 결시친님들께 물어보는건 이상황에 잘못여부가 아니라 남친의 대화방식입니다위내용이 대부분싸울때 저희대화입니다보통 남친이 잘못을 해요그럼저는 거기에 대해 따지고 그러면 남친은 사과를 안하고계속 자기가 왜그랬는지 이유를 말합니다그럼 왜 계속 핑계를대냐 너가결국잘못한건 맞지않냐 하면 왜 자기말을 안듣냐 왜 니말만하고 니식대로만 생각하냐고 말을합니다 그러다 제가 머리 끝까지 화가나면 미안하다고합니다그래도제가 화를 내면 미안하다고 했는데 왜 안듣나 이럽니다거의 모든 싸움방식이 다 저대화로 이루어져있습니다녹취록도 보시면 알수있등이 계속 자기식대로 말을합니다선배님들 혹시 제가예민한걸까요 저는 일단 잘못을 한거에 대한 사과를 듣고 싶은데 계속 남친은 아닌건아니다라고 먼저 말을하는게 맞는거래요 그후에 자기도 사과를 하지않냐면서요실제로 그여자친구는 동네 년지기가맞았고 카톡대화까지 보여주더라구요근데 저는 저대화방식이 너무 먼가 말로 표현이 안되는데 이상핳니다   아니면 제가 이상한걸까요  제발도와주세요추 댓글들 잘읽어보았습니다실은 저 녹취가 된 최근싸움으로 제가 오히려 남자한테 파혼을 당한상태입니다 거의싸움이 개싸움으로 서로 욕하고 공격하는 상황에 왔었고 제가 끝내자하니 너는 왜이리 끝내자는 말을 쉽게 하냐 알았다 그래 라고 하고 바로 집안에 파혼을 말을하더라구요 저는 정말 제가 아무리 말을해도 절대 안지니까 끝내자고 하면 붙잡으면서 조금이라도 인정을하지않을까 생각했는데 결국 끝까지 인정안하고 바로 끝내더라구요 근데 어제밤에 연락이와서는 자기가 미안하다고 말을하면서 자기는 나를 설득하려 노력했고 사과하려하였으나 계속 제가 화를 냈고 끝내자는 말을쉽게 해서 자긴 어쩔수없었다 미안하다 잘살아라라고 장문의 카톡이 왔더라구요그래서 정말 내가 이상해서 이렇게 된건가 갑자기 헷갈려져서 글을 올리게 된거였습니다여러분들의 귀한 조언덕분에 저는 파혼을 후회하거나 제탓을 하지않게되었어요가끔 지난 년의 세월이 씁쓸해질때 이글을 보면서 위안받을게요 댓글감사합니다
너네  개친한 친구가,뭐 조금이라도 잘 되면 이건 정말 하나님이 주신 기회다 하나님 감사합니다 이러고 날씨 좋으면 하나님 최고 이러는 애가 있는데 어떨 것 겉음그리고 또 너네한테 전도를 하려고 해 너네 같으면 손절침
추가 큰 아빠가 할머니 이 제 울 아빠보고 모 시래요,추석 다가오니 아빠에게 큰아빠 전화가 왔어요통화 후 아빠표정보니 안 좋아서 물어보니큰아빠가 이번 추석 잘 지내라는 말과이제 할머니 우리더러 모시라고 했대요듣고있던 엄마도 놀라고 저도 놀라서더 물어보니큰아빠가 건강이 너무 안 좋아져서 회사도 쉬고병원에 가야한대요그래서 할머니댁 왔다갔다하며 신경못쓴다고지방에 혼자 계신 할머니 돌보기 어려우니이제 저희 아빠와 다른 작은아빠들이 할머니병원 모셔다니고 집안일에도 신경쓰고명절에도 이제 할머니댁 좀 가라고 통보했대요날벼락 떨어졌어요아빠가 다른 작은아빠들과 얘기를 해보고다들 바쁘고 형편도 힘드니까통장만들고 할머니 병원비생활비 공동부담하기로정했어요아직 누가 할머니 병원 모시고 다닐지는 안 정했어요대충 정해진 비용문제를 큰아빠에게 전달했어요그런데 큰아빠는 할머니 병원비 생활비 그동안 혼자부담했다고 안 내겠대요아빠가 당황해서 형제들 같이 부담해야하는거 아니냐고우리집 형편도 이야기했더니그럼 그동안 혼자 부담한 병원생활비 계산해서 보내줄테니 형제들이 큰아빠몫 빼고 나눠서이체해달래요당연히 아빠는 말이 안되는소리니까 약간 다툼이 오간거같아요그후에 큰아빠가 그럼 돈 내기 싫으면본인이 하는것처럼 주말마다 아픈 할머니댁 가서보살피고 회사 연차내서 병원챙기고 하래요이것도 말이 안되잖아요 어떻게 서울에서 지방까지주말마다 가나요아빠가 화가나서 뭐라고 했나봐요그랬더니 큰아빠가 그럼 땅은 받아갔으면서할 도리는 하지도 않을거냐고 본색을 드러냈어요무슨 년동안 명절에 오지도 않으면서 궁시렁할머니가 아파도 모른척 한다고 궁시렁괜히 아빠에게 뭐라고 하는거 같아요예전에 시골 천평 땅큰아빠가 혼자 물려받아서 아빠가 화나서 형제들총대매고 나선끝에 그 땅 분할상속받았어요그런데 그 얘기하면서 땅도 받아놓고 명절에도 안오냐고 할머니 왜 안챙기냐고 큰아빠가 화낸대요그럴꺼면 처음부터 혼자 땅 먹지말던가요너무 속보이지 않나요이러다 꼼짝없이 아빠가 고생하실것같아요대책 공유해주세요추가기출변형입니다큰아빠가 저희 아빠세요 저희 아빠 기준에서썼더니 댓글 한 개 달린내용이너네는 호구니까 당해도 싸다라며 아빠 욕하는 댓글이 많아서 기출변형으로 다시 작성하였습니다작은아빠들 작은엄마들 제발 명절에 애들만보내지마세요그것도 용돈주는 설날에만 주로 오네요그리고 명절당일에 와서 밥만 먹고 생색내고 가지마세요그리고 우리집도 돈없는거 뻔히 알면서왜 할머니 병원비는 관심도 없으세요그럴려고 땅 분할상속 해달라고 화낸거에요땅 분할상속 받았으면 좀 명절에 전화라도 하세요명절에 안 온지 벌써 년도 넘었어요땅도 받아놓고 너무 모르쇠하네요 
얘네 키 차이  아냐,범규  연준  아니냐근데 왤케 많이 차이나는 거 겉냐모냐 왜 사진에 따라서 키가 다르게 나오는 거 같지
헐 슈화가 수진 언급,수 수진 언급 하려다가 못한듯잠깐 울컥멈칫하다가 소연언니요아이들 전소연 우기 슈화 원본
카리나 리정이 로 잘린 한테 선물줌,에스파는 로잘린 맘속에 들어간적 없다고 하던 애들이랑 와지엑스 원트 이간질하던 애들 다 들어가
헐 니들 주 학년 이 거 봄,우리 주학년님
내가 수진이라면 탈퇴까지 한 마당에,자기 스스로 탈퇴까지 했는데 끝까지 억울함을 호소하는 거라면 정말 진짜 억울한게 맞다고 생각됨 탈퇴까지 한 마당에 진짜 학폭을 했다면 뭐가 아쉬울게 있어서 억울함을 호소하겠음 근데 이 기본적인 생각도 하지 못하고 내다 탈퇴 학폭 인정 이러는 애들은 진짜 논리야 뭐하니 책으로 대가리 다 갈겨버리고 싶음
현대도 개 웃기네 걍 방탄 자랑을 하고 싶은 거임,차 하나도안보임 방탄만 앞에서 반짝반짝 빛남 
방탄 이게 머선일이야,셔츠소년단이다 
방탄 유엔 연설 요약,미래세대 이야기를 전하기위해 이 자리에 옴 코로나로 인해 잃어버린 것들에 대한 애도가 필요했고그동안 당연하다고 여겼던 순간의 소중함을 깨달았음년동안 자연을 느끼고 가꾸며 그 시간들을 더 특별하게 여김   지금을 잘 살아가자 고 외치고 환경문제를 개선하고자 하는 사람들이 많음이 문제에 대한 해답을 찾기 위한 시간이 있을 것이며 함께해나가길 바람지금의 대 대들에게 로스트 제너레이션이 아닌 웰컴 제너레이션이라는 타이틀이 더 잘 어울린다고 생각함변화에 겁먹기보단 웰컴이라고 말하면서 앞으로 걸어나가는 세대라는 의미변화 앞에서 어떤 선택을 하느냐가 중요방탄은 코로나에 맞서기 위해 명 모두 백신이라는 변화를 선택함 그게 바로 방탄이 기다리는 아미들을 만나고이 자리에 오기 위해 우리가 지금 할 수 있는 것들을 하는 중 이라고 설명함얼굴을 마주할 날도 멀지 않은 것 같다며그 때까지 모두 긍정적인 에너지로 일상을 채워나가자고 함  
방탄 이 사진이 이다,미쳣네 
미국 경기장들 방탄 노래 연주 마스크,미국 미식축구 경기장에서 울리는 마칭밴드 방탄노래진행자가 마침내 정상적인 삶으로 복귀한것을 축하한다면서 마칭밴드 소개 방탄의 퍼미션투댄스 연주함 백신 맞으면 마스크 안써도 된대 마스크 의무아냐여기는 방탄의 버터조단헤어 스타디움 미식축구 경기중 방탄 버터 연주다 최근임 
방탄은 걍 앞으로 정장 입지 마라,너무나 새신랑같아서이 빠순이심장이 남아나질않는다
수진 진짜 이 상하긴 해,어떻게 증거물이 하나도 없을수가 있냐 오토바이타고 수금하고댕기고 협박문자 돌렸음 문자 캡처해논거라던가 하나쯤은 있어야되지 않아  
방탄 이 거 눈물난다고, 
이 년  저년 며느리년들 ,이번추석에 작은엄마 들이 못오셨어요동생들이 아직어리고  동생들 구욤쪼그맹이들친할머니댁이 조금 위험지역이거든요저희아빠가 장남이신지라작은아빠들 절대 못오게 하셨고혼자계신할머니께  아침상차려 밥만먹는다고 통보를 하셨죠할머닌 이게 뭔소린가  긴가민가  하셨다가어제  진짜  작은집을이 안오자 욕을 하기시작하셨어요이년이나  저 저년이나고모  다필요없고며느리년들이 안와서  조상볼 면목이 없다고요며느리년  울엄마는  제가  며느리랑 손녀딸 듣는데서욕좀하지 마시라고  무식한거 자랑하냐시니저보고 망할년 육시랄년 이라 하셨어요육시랄년 검색해보니  와  어마무시한 욕이네요고대로  아빠한테가서 일렀어요울아빠 울그락 불그락 하셔서할머니랑 방에들가셔서 한바탕 하시고 이달부터 년에 번있던 제사 번으로 줄이고명절은 아침 밥만먹고 파 하는거로  할머니 들어누우셨다가지금 아침드시네요 하여튼   할머니 이길사람은  장남인 아빠뿐인걸로    근데   욕을 참 많이 알고 계시네요 울할머니 
방탄소년단 오늘자 ,정국 진 뷔 슈가 제이홉 알엠 지민 방탄  
여자들 아  잘 때,위에 속옷 안 입고 잠  나 여태 입고 잒는데 친구가 이상한 취급해
우리 박지민 애기 떨렷나 봄,갠찮다귀여우면 다다 
반반 결혼 생각해봤어, 
틱톡 진짜  웃기네,남고에 여자 가면 생기는 일이래 
빨간 날 추가 요금 받아야 한다는 어느 네일 카페 회원,그 와중에 노란색 일침갑일침맞고 급발진  
아 우기 개웃 김,이 짤 볼때마다 빵터짐 우기 조카 귀엽다
로제는 여자 팬들이 엄청 많은 듯,물론 남자도 많지만다른 멤버들에 비해서 여자팬비율이 훨 많은듯
태용 왕 따고 연예인 친구 없는 이유가 이 거라던데,여돌 뮤비보고도 이상한 얘기하고 그래서 왕따라던데 찐임그나마 하나있는 연예인친구는 햄스터 유리병에 넣고 깼다고 하고  인성 특히 재민 해찬이 얘 싫어한다던데
수진 수금 건 마니또동창인증 분 한테 디엠 답변 받은 적 있음,별 내용은 아니고 옛날에 판에 올렸다 구라라고 욕먹었는데 요즘 사건 다시 올라오는거 보고 걍 올려봄참고로 이분은 패딩 때 모순 지적하고 생기부 인증 올렸고 갑자기 계폭했는데 판에 물어보니까 수진 쉴드치다 욕먹고 계폭했단 소리 있음 걍 들은거 확실동창인증 하신분 얘기니까 도움됐음 해서 올려봄 수금 관련해서 사실 아니라고 답변 받음 
방탄 이 사진 ,정국이 석진이 따봉 못하게 힘주고있음전정국 장꾸표정 
체리장    구독하고 일 등 시민권 얻자,체리장의 노래  대왕 트래블                  세상에서 가장 중요한 것은 무엇일까요가족 친구 연인땡입니다정답은 바로 돈이지요여전히 가난하신가요그렇다면 잘 찾아오셨습니다대왕트래블추억이 많아야 진정한 부자란거 너는 그거 알고 있니난 이제 부자된다 여행으로 재벌된다대왕트래블추억이 많아야 진정한 부자란거 너는 그거 알고 있니난 이제 부자된다 여행으로 재벌된다대왕트래블네 거기 그 대왕트래블이죠사장 좀 바꿔주세요안 돼요 사장님 안 계세요예 예추억이 많아야 진정한 부자란거 너는 그거 알고 있니난 이제 부자된다 여행으로 재벌된다대왕트래블거기 대왕트래블이죠 사장 좀 바꿔주세요안 돼요 사장님 안 계세요추억이 많아야 진정한 부자란거 너는 그거 알고 있니난 이제 부자된다 여행으로 재벌된다대왕트래블야 거기 대왕트래블이지 니네 사장 좀 바꿔봐라안 돼요 사장님 안 계세요야 니 내가 누군지 아나안 돼요 사장님 안 계세요니 내가 누군지체리장의 유튜브 채널오빠들 체리장 유튜브를 구독하면 일등시민권을 얻을 수 있어요하늘나라에선 공부할 필요도 노동할 필요도 없습니다흑인 백인 모두가 한국어를 쓰게 됩니다  체리장 구독 후 하늘나라 가서 부귀영화 누리자 
오늘의 김태형 유엔 연설 결론,네 동의합니다 
이게 될까 초호화 게스트 라인업,웅장이들의 이게될까멜론 스테이션에서보고싶은 게스트 라인업을 준비함 브랜뉴울림 소속사 대표님들장준아 이건 우리가 싫어 골든차일드장준 골든차일드는 했잖아요에이비식스웅 이제 나와야죠 러블리즈웅 장준이랑 같은 식구잖아요한림예고  갓세븐 유겸펜타곤 키노엡식 전웅 온리원오브 유정조승연웅 물어볼게요 재재장준 이분은 야니가 도와주세요 빅톤웅 수비니수빈이한테 물어볼게요 온앤오프웅 제이어스형한테 물어볼게요 투바투투모로우 바이 투게더장준 영택이랑 친해요웅 대휘랑도 친해서 더보이즈장준돼요 돼요 웅 아는 사이에요장준 친해요에스에프나인웅 아 제가 인성이 형 알아요 스키즈스트레이키즈웅 아 방찬이 알아요그 외로 남우현 김재환 정세운 황민현 트레저 드리핀 등등등꼭 다 섭외했으면 좋겠다 다 보고싶어전웅 이장준 이게될까 많관부이번주 게스트는 이영지님이래
방탄 유엔 연설 하는데 단톡방 방탄욕하는 애들 개많음,  어이가 없어서방탄이 왜 저기서 연설하냐 부터 마스크 안썼다고 까고 있음  유엔연설 한곳은 미국인데한국하고 똑같냐고방역수칙 왜 안지키냐 개념 없다 부터 온갖욕 올라오고 있음지금 글쓰는 와중에도 올라오고 있는데  너무 더러워서 맘 같아서 캡쳐해서 올리고 싶은데 안올림까는거 보면 수준 떨어지는것 같고 아까는 외교관 되려고 공부하는 사람이 얼마나 많은데 방탄이 기회를 박탈시킨다 개나소나 외교관 되네 하고어이없어서 웃음밖에 안나온다방탄 화이팅
오징어 게임 설리 닮은 배우,는 배우 이유미님연기 너무 잘하심 반했어전소민  설리 느낌 낭낭 
방탄 뷔 비율,개좋음 슬렌더하이브 뷔 김태형 방탄 
방탄 하루치 스케쥴봐,일요일에 미국 도착방탄소년단 하루치 스케줄퍼투댄 무대 사전녹화대한민국 특사로 유엔연설귀인들과의 미팅문대통령과  인터뷰영부인과 멧뮤지엄에 한국 예술가 정해조님의 옻칠 전달하기이걸 하루만에 다 함근데 계속 트위터와주는거 고마움 
우리 반 남자애들이 나  싫어함,같은 반 애들한테 물어봤는데 나 무섭게 생겼단다 답정너니 뭐니 니들 알아서 생각해 진짜 궁금해서 물어봤던건데 너네 진짜  꼬였다 무슨 내가 예쁘다는 소릴 듣고싶어하냐고 니넨 예쁘단 소리 듣고 싶을 때 같은반 남자애들한테 배척 당하는 썰 푸냐 진짜 지랄났네발 그리고 내가 예뻤으면 모솔이아니겠지 생각하니까 개빡치네 이유 알려준 애들은 고맙고 꼬인애들은 그냥 쭉 그렇게 사셈  
내 기준 안 어울리는 남돌,그 저번에 이런 거 투표한 짤 보고 내 맘대로 생각해봄  프니엘몬스타엑스 규현투바투 서은광비투비 제노세븐틴 구준회위너 지성방탄소년단 송형준더보이즈 강승윤엑소 슈가아스트로 부승관스트레이키즈 대성짤 묻방
죄송한데 제목만 펑할게요 작은 후기 추가,지금 남편은 집에 가있고 저는 친정에 와있어요결국 연휴내내 남편을 대하는 게 미묘하게 달라졌다보니 남편이 왜 화냤냐고 물어보게 돼서 통화했어요밥차려주길 바란건 맞는데 도우미랑 비교한거 아니다그렇게 오해하게했다면 미안하다고 했고아침저녁 부담갖지 말라고 주말엔 새벽에 남편이 다 보겠다고 했어요속상한부분 다 얘기하고 나니 속은 시원합니다여기 계신분들께서 댓글 달아주신 것 다 읽어봤고 너무 감사합니다 복받으세요 앞으로도 힘내볼게요안녕하세요 현재 육아휴직 중으로 개월 아기 키우고있는 유부녀입니다최근 자유부부 시간에 남편과 대화를 나누다 충격먹은 일이 있었습니다결론은 퇴근하고 오면 밥이 딱 차려져있거나 차려줬음 좋겠다는 겁니다 근데 그걸 얘기할때 출산후에 잠깐도움받았던 산후도우미와 비교했다는 건데요산후도우미는 아이도보면서 밥도 다 차리는데 뭐가 어렵냐는 뉘앙스였습니다저는 너무 어이가없어서 산후도우미는 직업이고 도우미아주머니도 아가가 너무울땐 나한테 아기맡기고 음식하는 거라고 얘기하니까 아무 대꾸가 없긴했는데요 수긍한건아니고 그냥 넘어간 느낌이었습니다게다가 아침도 챙겨줬음 좋겠다네요연애때 아침을 안먹는다고 했었고 신혼때는 저도 아침을 못먹고 출근했습니다 그런데 임신전 회사가 가까워져 시간이 생겼고 그때 간단하게 계란후라이나 사과같은 것들을 제가 먹어야해서 같이 챙겨줬어요 근데 너무좋아하더라고요그리고 출산 직후에는 새벽이 너무힘들어서 못챙겨줬습니다그러나 요즘은 비교적 아가가 일찍자고 많이자는 편인데요 물론 새벽시부터는 두세차례 깹니다제가 육퇴시간을 즐기다보니 시쯤자면 저는 보통 길어야 세네시간만 푹자는 거예요근데 남편은 귀가어두워 못일어나고 저만 잠을 설쳐 힘들지만 남편이 출근하는 시간쯤 아가가 깨기에 강제 기상을 하고있어요그러니 자기 출근할때 아침을 간단하게라도 챙겨줬음 좋겠다네요그동안 새벽에 애보는것에대해 불만이 없었는데 너무억울한 순간이었습니다요즘은 주말에도 보면 아기가 낮잠도 많이자고 하니 어려워보이지않는다며 자기는 회사에있을때 잠시도 못쉰다면서 제가 지금 육아에 묶여있고 힘들어하는 것에 대해 전혀 알아주지 않는다는 걸 알게되었습니다저는 사실 남편이 조금만 더 일찍 일어나서 오히려 저를 챙겨주길 바랐었거든요그런데 가장 옆에서 육아를 보는 남편이 제가 육아로 고통받는 걸 알아주지않고 쉽게여기고밥차려주길 바라고 산후도우미와 비교했단 사실이 너무 충격적이고 결혼을 잘못했다는 생각이 듭니다연애때도 눈치챘어야했는데 이미 아이도 있고 아이는 너무사랑스럽고어떡해야하나요그냥 그까짓 요리해줘버릴까요그리고 요새들어 남편이 제가 전업하길 희망하네요 원래는 안그랬는데 아이를 돌봐주길 바란다고 인정하더라구요회사에 큰미련이 없어 복직을 하고싶지않긴했지만 막상 이렇게되니 이렇게 가부장적인 사람에게 전업주부로 사는 삶이 과연 괜찮을지 걱정도 되고남편이 저런생각을 해왔다는 사실에 잠못 이루고 아기는 너무예뻐서 이혼까지는 생각하기 어렵고 몰래눈물흘리는 요즘입니다 어떡하죠
리사 외 퀴 가지고 만 뭐라 하는 거 어이 없음,런닝맨에 블핑 나왔을때 게임중에 전소민이 지수 발로밀었다고 지수외퀴들이 전소민 인스타 테러함문제의 장면인데 문제같지도 않음   이거 월트올리면시 항의하고로제 솔로 데뷔 이틀전에 트럭 대보내서 사옥 싸메고 함왜 맨날 리사 외퀴한테만 뭐라하는지  어이없음 블랙핑크 지수 제니 로제 리사 에스파 카리나 윈터 지젤 닝닝 레드벨벳 아이린 슬기 웬디 조이 예리 트와이스 나연 지효 미나 정연 사나 모모 다현 채영 쯔위  
오늘 새 언니랑 오빠 갔다 온 뒤로 엄마가 충격 받아서 일어나 질 못함,우리집은 교회 다녀서 제사나 뭐 그런거 없고추석이라고 해도 그냥 다 같이 모여서 밥 한끼 먹고 끝낸단 말이야그래도일단은 우리집이 큰집이라 작은 아빠랑 막내 고모 가족이 와서 밥먹고 가우리 엄마는 맏며느리기도 하고본인도 요리 하는 걸 좋아해서 명절 때만 되면 진짜 음식을 많이 하셔요리 솜씨도 좋아서 자부심도 엄청나심솔직히 우리 엄마여서 그런건 아니고객관적으로 봐도 우리 엄마는 요리를 엄청 잘하셔내 친구들이 와서 밥먹고 전부 부럽다고 할 정도로 그래서 엄마에게 있어 요리 솜씨는일종의 인생의 자부심 같은 거였단 말이야그러다 얼마 전에 우리 오빠가 결혼해서 새언니랑 추석 쇠러 왔어코로나 때문에 다 모이진 못하고그냥 친척들끼리 번갈아 모이기로 했는데사돈댁새언니 친정이 조금 먼 편이라 제일 먼저 왔어그런데 새언니가 어머니 혼자 명절 음식 만들기 힘드시죠 이러면서명절 음식을 진짜 한 가득 가져왔어진짜 이걸 혼자 어떻게 만들었지 싶을 정도로예전에 요리 하는게 취미라고 듣긴 들었는데설마 이렇게 말 한마디 없이 본인이 요리를 좌르르륵 해올줄은 아무도 몰랐어근데문제가 양이나 종류도 많고맛도 엄청나게 맛있음진짜 우리 엄마 음식 때문에 상향 평준화 된 내 입에서도절로 맛있다라는 말이 튀어나왔음어떻게 이렇게 대단한 분이 왜 우리 오빠 새끼랑 결혼했는지 이해가 안갈 정도새언니는 호호호 별거 아니에요 이렇게 웃었는데음식을 먹은 우리 엄마 표정이진짜 이 짤처럼 됐음엄청나게 충격 받은 얼굴 인생의 전반을 잃은 얼굴암튼 딸인 내가 본능적으로 엄마가 충격 받았다는 걸 감지했음음식양도 많고 사돈댁에 가야 해서우리 오빠랑 새언니는 먼저 가고 둘째 삼촌이랑 고모가 차레로 다녀갔음우리 아빠는 눈치 없이 새언니 음식 맛있다고 자랑하고작은 아빠랑 사촌들도 맞장구 쳐줬음심지어 막내 고모부까지도 와 형수님 며느리 잘둬서 부럽네요이러고우리 착한 막내 고모만 그래도 내 입에는 언니 음식이 맞나봐 이러는데 솔직히 거짓말인거 티났음암튼 다들 가고 엄마 이 상태로 누워 있음어쩌지 진짜 
