제목,본문,댓글
어제자 그알 보고 느낀 점,코로나가  염병이긴 염병이구나코로나로 온 동네 노인정 다 폐쇄 되니까 노친네들 유튜브 붙잡고 이상한 뻘소리만 골라보고 앉았음그게 이번 한강 사건에서 여실히 드러남,저기 시위현장에 대도 엄청 많았음대도 떡같아 노인만 그런게 아님 뿅뿅 짓에 세대가 어딨어벌레새끼가 가장 많은 나이대가 어디더라답나오지대도 떡같아 노인만 그런게 아님 뿅뿅 짓에 세대가 어딨어저기 시위현장에 대도 엄청 많았음일단 그알부터 보고 와뭔 개소리야 그알에서도 대 대 가릴 것 없이시위 나와서 타살이라고 지랄하더만 벌레새끼가 가장 많은 나이대가 어디더라답나오지코로나 풀리면 그거 유투브에서 보고 더 빨리 유언비어 확산됨
속보 코로나 신규 확진 명 일 만에 명대 아래로,드디어 명대로내려갔군요,전국민의  이상 접종했다고 하니 백신효과가 슬슬 나는 걸까전국민의  이상 접종했다고 하니 백신효과가 슬슬 나는 걸까
검색량 윤석열 배·이낙연 배까지도실체드러낸 이준석 돌풍,이준석 검색량·보도량 모두 대선주자급인지도가 자산,안철수가 그랬다가 훗 가지 않았나한 사람이 계속 올림다 보면 딱 명이야그나마 전번에 한번 욕먹고 잡담으로 올리더라북유게도 계속 올라오니까 할 말 없음 빅데이터에 따르면저 논리대로면 손혁씨 대선 출마하겠네북유게도 계속 올라오니까 할 말 없음한 사람이 계속 올림다 보면 딱 명이야그나마 전번에 한번 욕먹고 잡담으로 올리더라안철수가 그랬다가 훗 가지 않았나찢지자가 이걸 보고 알아챌 능지라도 있음 모르겠는데  빅데이터에 따르면저 논리대로면 손혁씨 대선 출마하겠네나도 이준석 지지해 이준석이 국힘당 대표 했으면 좋겠어 능력만 보면 종신당대표감이긴 하지만 다크나이트만큼의 매력이 없어서기본적으로 싸가지가 없어 걔는그래서 더 좋아 국힘당 제대로 아작낼것 같거든 그럼 우린 이준석이 되길 바래야겠네난 일편단심 나경원 당대표 됐으면 좋겠어검색량이 많다는건 오히려 욕을 많이 먹고 몰락할 예정이란 뜻임준석이랑 놀아주는 사람 박근혜 가세연음그만 알아보자유망주는 까발려 지기 전까지가 가장 주가가 높음준석아 당대표 가자함 시켜봐 볼만하겠다 이거 완전 안철수 구글 트래픽닭년에게 시간만에 설득당한 놈을 빨아준다라벌레새끼뿐이지 잘됐다 대선주자로 밀어라
어제 그알중에 개인적으로 이해 안되는 장면이,흠,키보드에서 손 떼라와 아들을 만들었다고 생각하는구나부모가 되어본 적이 없는 입장에서 함부로 평훼하고 싶진 않지만그래서 자기 자식이 죽었으면 아직 죄가 확실하지도 않은 남의 자식을 사회적으로 살해해도 되는건가키보드에서 손 떼라뭔가 좀 와 아들을 만들었다고 생각하는구나부모는 자식을 기르는게 자기 인생이니 그것이 사라져서 리셋됬다고 말하는게 이상하지는 않음 저 사람의 단어선택에 좀 독특하긴 해도저아저씬 그거랑은 좀 다른 세계관에서 말하는거 같은데기분탓인가저런 심리가 아주 특별하게 이상한건 아냐자식은 자기 인생을 갈아넣어만든 작품이라는 생각은 할 수 있는거지우리나라 부모들이 저런걸 당연하다 생각하는 경우가 많음 아주 잘못된 정서그게 잘하는거라는 소리를 하려던건 아님 잘못된건 맞는데 그런생각을 할수는 있다는거지당연히 그렇다고 그걸 상환받겠다느니 내 아들이 죽었으니 남들도 죽어야된다느니 그런생각은 틀린게 맞지부모가 되어본 적이 없는 입장에서 함부로 평훼하고 싶진 않지만그래서 자기 자식이 죽었으면 아직 죄가 확실하지도 않은 남의 자식을 사회적으로 살해해도 되는건가요즘 대치동에서 아이들 사교육관리를 엄마가 아니라 아빠가 직접 관리하는 경우가 엄청 늘었음저 말과 이 인터뷰를 이어서 보면 무슨 생각으로 저러는건지 알수가 있지술에 취한 아들의 실수로 인한 죽음이라는건 너무 부끄러워서 받아들이기 힘든 사람임뭐 부모니까 그런 마음이 들 수도 있는데 그걸 타인이 어울려줘야할 의무는 없지 그냥 관심 가져주는 사람들하고 서로 위로하고 살면 충분하지 딱히 사회적으로 관심가져줘야할 사안은 아닌듯아들 친구도 자기자식처럼 보이는 나이이긴 한데 친구잘못만나서 이렇게 됬다는 느낌이군할말하않캡쳐본이래서 누구 이야기 하는지 잘 모르겠네 리니지 캐릭터 키워논게 삭제됐다는거지야이 새끼야 자식을 그렇게 훌륭히 키워놨다는 이야기를 게임 케릭터를 들먹이냐 니가 사람새끼야 이 새끼야
대장이 차단된 거,일주일이었을걸독일망명이하고 대첩벌이다가 저격으로 둘 다 차단크리라는 건 망명이도 돌아왔을 거라는 앞으로 망명이는 담당일진인 대장이 잘 만져주실 거임 가슴이 옹졸해진다 진삼,망명이쉑히는 이제 내가 안건들여도 되겠더라 남쪽에서도 사람대접 못받다니 툭하면 처던이나 당하는 나약한녀석이야황달님 충성충성충성안서는 대장 맞지 많은 북유게 유저들이 너를 그리워했음 니가 신고 때린거 다 안다 이쉑히야망명이쉑히는 이제 내가 안건들여도 되겠더라 남쪽에서도 사람대접 못받다니 많은 북유게 유저들이 너를 그리워했음 니가 신고 때린거 다 안다 이쉑히야겨우 그런걸로 너 야짤 달리면 신고하려고 그랬지대장 차단되기 전부터 남유게에서 대첩벌어지곤 하더만 안서는 대장 맞지 아인데예이러니 안 서지 툭하면 처던이나 당하는 나약한녀석이야황달님 충성충성충성권력앞에서 솔직한 인간의 모습이얌
북한 해커가 멕시코서 억원 털어 한국 송금,이른 아침에 ↗선일보발 기사가 떠서 봤는데또 소설 쓰고 있네 라고 생각했더니조금전 기사 내려감 이쉑히들은 이제 소설도 제대로 못쓰네 ,뭔지 잘 모르겠지만 암튼 대장 환영해난 네가 지목한거보다 소득조건 백신 부작용 치료비  이게 더 악질이라 생각되는데대장 왜 또 아이디 바꼈어악질 기래기새끼뭔지 잘 모르겠지만 암튼 대장 환영해난 네가 지목한거보다 소득조건 백신 부작용 치료비  이게 더 악질이라 생각되는데대장 왜 또 아이디 바꼈어안알랴줌악질 기래기새끼수출 넘버원 찌라시중의 찌라시종이포장지에 찌라시소설을 적는 포장지제조회사인가북한 해커가 왜 우리한테 돈을 보내는데저거는 쓰면서도 이상하단 생각 안드나반전으로 진짜인줄멕시코에 가서 총맞았으면
어제자 그것이 알고싶다 시청률,년 고유정편급 임팩트,여기서 그쪽애들은 보다가 채널돌렸겠지아버지와 방코들이 확인사살해서 고인을 두번 죽인 사건이 됐네여기서 그쪽애들은 보다가 채널돌렸겠지아버지와 방코들이 확인사살해서 고인을 두번 죽인 사건이 됐네
미얀마 군부와 사업을 한 정권 대통령은 해명하라 대텅령아 해명,최순살대통령 또 너야, 미얀마 군부는 전대갈이랑 친했다얼마나 해먹었냐 쓰발것 조만간 저거 가지고 최순실이 잘했다라고 할거 같구만 미얀마 군부는 전대갈이랑 친했다아 이게 그 유유상종인가 그건감얼마나 해먹었냐 쓰발것 조만간 저거 가지고 최순실이 잘했다라고 할거 같구만정말 최순실이 부지런했던건 인정이권만 있으면 쉬지않고 달렸지
그알이 남긴 역사로 남을 짤,,조선일보도 못믿는다더라 탄핵시국에 통수쳤다고 촌의 뒤를 잇는 명작인가 난 한강에서 저러는 인간들  극우들인줄 알았는데 어제 방송 보니 죄다 노친네들 병신들 촌의 뒤를 잇는 명작인가 조선일보도 못믿는다더라 탄핵시국에 통수쳤다고 병신들 짤줍짤줍대단한 짤이 나왔어 진짜난 한강에서 저러는 인간들  극우들인줄 알았는데 어제 방송 보니 죄다 노친네들 은 저새퀴 술마시고 꽐라되서 실족사 했구만이지웃음벨 언믿일믿에이은 유튜브만 믿어아이고 이짤 이후에 최고의 짤이구나 엌정말 명짤 탄생했구먼근데 실제 대들 유트브장난아니게 보더라한번 그쪽으로 보기시작하면 관련된 동영상들이 알아서 올라오잖아스맛폰에 익숙하지못한 분들일수록계속 노출됨
중앙 尹 칼 맞고도  尹 찍을것여기 이준석 돌풍 이유,의 이 말을 전한 측근은 윤 전 총장이 야권의 대표 주자가 된다면 는 분명히 지지할 것이라며 자신을감옥에 보낸 사람이라도 괘념치 않을 것이라고 했다 년 의 첫 수감 때와 년 재수감 때 두 번 모두논현동 자택을 찾았다는 전직 의원도 “다른 건 아무 것도 생각 말고 정권교체만 생각해야 한다”는 당시 의 말을기억해냈다 쉽게 말하면 정권교체를 위해서라면 윤석열이든 누구든이란 의미다정권교체돼야 사면받으니 어찌보면 당연한건가 공정 정의어쩌구 지랄하던데토론때이명박근혜 사면에 어떤 입장을 보일지 기대되네 ,도 윤씨를 찍어야하다니 찢 생각하면 윤짜장 보면서 웃지도 못하겠다 친박은 배제하고 친이로 가겠다는 소리네 하긴 박근혜 탄핵의 주역이긴 하니까도 윤찍을듯 합리화 여론 만들려고 하는거네도 윤씨를 찍어야하다니 투표권 없지 않아찢 생각하면 윤짜장 보면서 웃지도 못하겠다 친박은 배제하고 친이로 가겠다는 소리네 하긴 박근혜 탄핵의 주역이긴 하니까도 윤찍을듯 합리화 여론 만들려고 하는거네아 근데 빵간 사람들 투표권이 있던가 정지 아니야
사실 제일 궁금한게 그 의대생 친구들임,이게 전국민 능지테스트인거는 확실하고같은 의대생이라 신상을 아니 뭐 여러 사이트에서 진범 웃음 신상 뿌리고 극딜넣고 하던데이제 뭔 스탠스로 나올지 저정도 능지로 의사면허 땄다가는 인간지네 만들듯,공부 잘한다고 머리도 좋다고 보기는 어려울 듯 저런 거 휘둘리는 애들은 특정 지능 부분이 모자란 거잖어애보고 학교 못다니게 하겠다니 뭐니 븅신들 진짜그니까 선발대로 국시 합격하자나합격률 거의 퍼 아니었나 무슨소리야 같은 학교 다니는 의대생들은 대부분 걔 실드쳤어 죽은애뿐 아니라 친구랑도 동기인데 그리고 신상 밝히거나 커뮤니티에서 몰아간 사람은 의대사람들이 아닌데 의대 학생회나 신분밝힌 제보자들은 대부분 마녀사냥 하지 말란 식으로 말해서 다른 사람한테 욕먹었지 잘못알고있는거 아님이러고 있을듯애보고 학교 못다니게 하겠다니 뭐니 븅신들 진짜공부 잘한다고 머리도 좋다고 보기는 어려울 듯 저런 거 휘둘리는 애들은 특정 지능 부분이 모자란 거잖어그니까 선발대로 국시 합격하자나합격률 거의 퍼 아니었나선발대 없애기 위해 랜덤으로 바꾼 이번 국시에서  합격률 나와서 합격률이랑은 상관 없는듯이러고 있을듯 무슨소리야 같은 학교 다니는 의대생들은 대부분 걔 실드쳤어 죽은애뿐 아니라 친구랑도 동기인데 그리고 신상 밝히거나 커뮤니티에서 몰아간 사람은 의대사람들이 아닌데 의대 학생회나 신분밝힌 제보자들은 대부분 마녀사냥 하지 말란 식으로 말해서 다른 사람한테 욕먹었지 잘못알고있는거 아님의대 다니는 친구들을 왜 욕함 에타에 올라온 글보고 그러는거면 거기 익명이고 중대생이면 아무나 의대게시판에 글 쓸 수 있음애초에 중대 동기 인터뷰 보면 다 정민이랑 정민이 친구 감싸는 내용밖에 없는데신상털이 정민이 친구랑 같은 동네 사는 뿅뿅들이 퍼트린거야
한강 코난들이 ↗됐다고 들었습니다,이제 죗값 받으셔야지 ,내가 봐서는 ↗되지 않았음엿 안됨 오히려 그알이 틀렸다고 코인 더 땡김내가 봐서는 ↗되지 않았음
김남국 황,이런 미친 새가,저쪽이랑 친목질이라니 그냥 네 감사합니다나 선거 건승하세요 정도만 적는게 정상같은데 한다  지금 상황에도 페북으로 저러는거 보니 당대표돼도 페북질 하다가 꼬투리 잡혀서 욕쳐먹겠네밭갈이꾼한다  저쪽이랑 친목질이라니 그냥 네 감사합니다나 선거 건승하세요 정도만 적는게 정상같은데 딜교 개못함밭갈이꾼지금 상황에도 페북으로 저러는거 보니 당대표돼도 페북질 하다가 꼬투리 잡혀서 욕쳐먹겠네그냥 사시패스한 찐따임남국이 로스쿨 출신이야맨 처음이랑 뒤에만 올렸으면 별 문제 없는데 도대체 저 가운데는 왜 넣은거야이준석님에게 댓글받고 감격 뿅뿅이 자기 상사한테 보고하는 줄 알았네정신차려 이 양반아 넌 선출직 국회의원이고 쟤는 선이여니 생각을 왜 저렇게 자세하게 상대 당이랑 공유하는데적폐들이 아주 물고 빨고당선기대합니다정도만 하면되지 뭔말이 저리많아스파이여미친것들이 문재인 정부 지원하라고 뽑았는데저거 가지고 합성이라고 할수 있으니 전체 캡쳐 해둬야함살짝 우쭈쭈 해주면 뭐든 다 불어버리고 속도 다 까발려 줄 어리석은 이네 높은 자리 앉으면 우리편 초토화 시킬 큰 인물일세 어이구야초선족들이랑 이준석 이랑 짝짝꿍이 맞나보네장경태랑도 이러더니아우  내가 쪽팔려 뒤질것 같다다른당 선의원한테 우리 지금 이렇게 저렇게 하고 있어요라고 상세하게도 보고하네대단한 칭찬 해준것도 아니고 멋집니다란 짧은 댓글 하나에 저렇게 나불나불 주절주절 댔다는게 참한국에선 뻔뻔하고 일본에선 굽신거리는 토착왜구 새끼들 보는것 같네븅딱이지전쟁나서 적군이 우쭈쭈 해주면 군사기밀 술술 다 풀어줄 놈이네보고드립니다개국본 돈 먹은거 어쩔겨사실 민주당내의 젊은 의원 당원들은 이준석의 성공을 바라는 인원이 있을거임 남국이는 특히 이준석이랑 토론이라던가 여러 방송에서 대척점으로 나온적이 많은만큼 이준석이 성공할수록 자기가 스포트라이트를 받을수 있다고 계산했을듯이준석이 당대표가 된 국힘이 잘나가기 시작하면 초선족등 젊은 의원들은 기자회견 열고 민주당도 젊게 바뀌어야 한다고 소리치면서 선배들 쫒아낸 후 권력잡는 그림을 그리고 있을듯그래서 저는 김남국이 저렇게 이준석과 엮이는걸 좋아한다고 생각함 이준석이 화제가 되는동안 자신의 이미지도 관리하고 나중에 이준석의 대척점이 되서 당대표까지 하는 자신을 기대하고 있지 않을까 싶음 개인적인 생각임구의역 사고 담벼락에 그러고 있네 참
한강사건은 진짜 검경수사권 조정 되었으니 다행이지,안그랬으면  씨 집안이랑 청와대 행정관 엮고검충이들  씨 집 압수수색 가고 기레기들 집앞에 뻐치기 하고  청와대 턴다고청와대 앞에서 개 지롤 하고또 기레기들 받아쓰기 도배질 하고조국전정관 외압설 나오고  공소장에 대통령이름 수십번 적고 어휴 생각만 해도 끔찍하다,표창장 사모 펀드  김학의출금 월성  울산하명  다 없는죄 만들어서  열씨미 기레기랑 뻠쁘질 햤자녀검찰들이라고 없는 죄 만들수는 없음 어차피 또 같은 결과 나올꺼고그러면 렉카랑 코난은 검찰도 한패라고 검찰개혁 외치겠지검찰들이라고 없는 죄 만들수는 없음 어차피 또 같은 결과 나올꺼고그러면 렉카랑 코난은 검찰도 한패라고 검찰개혁 외치겠지표창장 사모 펀드  김학의출금 월성  울산하명  다 없는죄 만들어서  열씨미 기레기랑 뻠쁘질 햤자녀
한강사건베글에 한강사건 그알 인터뷰 나온거 보는데,맨밑에 씨 가족내가 보기에는 씨 아버님 같이 생김 이랑실명나온 손정민 아버지 랑 인터뷰 내용이 천지 차이네밑에 씨 가족 인터뷰는 자식잃은 아빠마음 에 공감해주는 인터뷰 인데위에 손정민 아빠는 무슨 눈빛이랑 표정부터 뭔가 거들먹 거리는 상환받을껍니다딱 그런느낌의 인터뷰라 소름 돋는다 진짜저건 자식을 키운게 아니라 아바타 만들고 업적작 한 느낌인데애를 리니지 키우는 느낌으로 키운 거 같다무섭다,평택항 산재피해자 아버지표정과 비교하면 답이 나옴사패아닌가 그생각부터 들더라 난손정민 아버지도 문제였지만 눈빛 표정이 문제다 같은 비난은 하지말아야 할거 같아 뭔가 방구석 코난 논리랑 비슷해져가는 느낌이라서평택항 산재피해자 아버지표정과 비교하면 답이 나옴사패아닌가 그생각부터 들더라 난손정민 아버지도 문제였지만 눈빛 표정이 문제다 같은 비난은 하지말아야 할거 같아 뭔가 방구석 코난 논리랑 비슷해져가는 느낌이라서나도 어느 순간 편만 달랐지 그들과 똑같은거 같아 입을 닫았다대부분 부모들이 잠재적으로 다 저래 내 한을 풀어 줄 존재니가 잘 돼야 엄마 아빠 체면이 서는 거야바껴야 할 문화
난 어제 그알보면서 친구 아버님 인터뷰가 맘이 아프드라,,어르신과늙은이의 차이저런 부모 밑에 이상한 아들이 나올 수 가 없음 일 잘 마무리 하고 선넘는 애들 금융치료 해주시갈언론 렉카 코난들은 사고사를 구경거리로 만들어버렸을 뿐이고 유족들을 가장 배려한 건 씨 가족들이라 생각함 힘내시고 잘 마무리 하셨음함있어 김홍걸언론과 그뒤에 이그림들을 사주한 세력은 사지를 찢어죽여야함어르신과늙은이의 차이저런 부모 밑에 이상한 아들이 나올 수 가 없음 일 잘 마무리 하고 선넘는 애들 금융치료 해주시갈있어 김홍걸언론 렉카 코난들은 사고사를 구경거리로 만들어버렸을 뿐이고 유족들을 가장 배려한 건 씨 가족들이라 생각함 힘내시고 잘 마무리 하셨음함언론과 그뒤에 이그림들을 사주한 세력은 사지를 찢어죽여야함
그알이 비겁한게 언레기는 안 다루더라,언레기 책임은 안 다루고 전부 유튜버로 몰아가는 느낌 유튭레카질 이 패악질이고 사태를 이지경으로 만든것은 사실인데  그렇게 가도록 길 터준게 언레기들이지언레기 들이 지들이 막 뿌려대면 이슈 만들수 있다고 자신하고 있어서언레기들이  앞에서 뿌리고  뒤에서 극우 유튭 일베 그리고 카톡에서 가짜뉴스 돌리는 업자들 이 활동하고이게 다 구조와 설계가 있는 것인데  그알은  그중 제일 중요한언레기의 문제는 외면했다,그알도 본질이 시방새라는거지국제파 관련 자료를 모으던큰별 가 교체당하고 나서 더더욱진짜 노리는건 이거 구실로 유튜버 조지는 밥그릇 싸움거는걸수도 있지실질적으로 언레기들이 선동질만 안했어도 한강 사건이 이렇게까지 커지지도 않았음 몇개월 전 뒷광고 논란 때도 를 위시한 공중파 방송국들은 애꿎은 쯔양 선동질로 쓰레기로 만들고 정작 지들 뒷광고 논란은 묻어버림 그때도 몇몇 유튜버들 날아갔지 공중파종편 방송국들은 피해 안봄그알 손절해서 뭐라 말은 못하겠지만 이걸 빌미로 강력한 경쟁자 제거를 하려는 꼼수같은 느낌본질은 시방새라서 진짜 노리는건 이거 구실로 유튜버 조지는 밥그릇 싸움거는걸수도 있지그알도 본질이 시방새라는거지국제파 관련 자료를 모으던큰별 가 교체당하고 나서 더더욱그알 손절해서 뭐라 말은 못하겠지만 이걸 빌미로 강력한 경쟁자 제거를 하려는 꼼수같은 느낌실질적으로 언레기들이 선동질만 안했어도 한강 사건이 이렇게까지 커지지도 않았음 몇개월 전 뒷광고 논란 때도 를 위시한 공중파 방송국들은 애꿎은 쯔양 선동질로 쓰레기로 만들고 정작 지들 뒷광고 논란은 묻어버림 그때도 몇몇 유튜버들 날아갔지 공중파종편 방송국들은 피해 안봄사망여우가 이때 이상민의샴푸광고 뒷광고를 지적했는데씨방새가 이상민과 합작하고연알시상까지 돌려먹으면서아주 제대로 기만했지본질은 시방새라서 유튜브에 뺐긴 시청자들 빼와야하는데팀킬 할 수는 없겠지 신의한수도 저 한강사건에 여론 만들었지나경원 주호영까지 이 사건에 가장 큰 책임이 있는게 기레기들인데 말이지지네들도 함께 우리가 남이가 하는 언론이다 이거지말 그대로 유어낫얼론이고 유어낫언론임
이준석 민주당이 윤석열 처가로 공격할 때 대응법 있다,일단 윤석열이 우리 당에 와야 해 그럼 비책이 담긴 비단주머니를 개 줄게그걸로 충분히 받아치고 역효과까지 일으킬 수 있어삼국지 유비 재혼건 따라하는 듯한데그거 사실연의의 창작이라던데 그리고 그 비책을 왜 본인의 선거에선 전혀 못 써먹었을까나,이 기사 핵심은 민주당이나 이준석보단 윤씨 처가네제목만으로도 뭔가 처가에 문제가 있다는 소리잖아영선에게 선거를 맡기는건 좀내가 보기엔 쟤들 비책은 무조건 민주당 후보로 이재명 미는거 밖에누없어 어그로는 어그로로 덮어야비책은 능력있는 사람이 주는 비책이 쓸모가 있는거지황호의 비책 주머니 개 이러면 누가 받아가고 싶겠니윤씨 오기 좋은 판을 만들려고 이준석 밀어준다는 말도 있음 윤은 정치 짬바 있는 중진들 더 불편해한다고 어차피 국짐은 지들이 잘하는 게 아니라 언론백업으로 선거 치루는 당이라영선에게 선거를 맡기는건 좀내가 보기엔 쟤들 비책은 무조건 민주당 후보로 이재명 미는거 밖에누없어 어그로는 어그로로 덮어야비책은 능력있는 사람이 주는 비책이 쓸모가 있는거지황호의 비책 주머니 개 이러면 누가 받아가고 싶겠니윤은 자신을 끌어줄 정당을 원하는데 선준석군이 당대표 하는 정당이면 갈 생각을 접을껄윤씨 오기 좋은 판을 만들려고 이준석 밀어준다는 말도 있음 윤은 정치 짬바 있는 중진들 더 불편해한다고 어차피 국짐은 지들이 잘하는 게 아니라 언론백업으로 선거 치루는 당이라이 기사 핵심은 민주당이나 이준석보단 윤씨 처가네제목만으로도 뭔가 처가에 문제가 있다는 소리잖아그러게 윤썩 쉴드치는게 아니라 대응법을 말하는거니 은연중에 그렇게 문제 있다는걸 전제하고 말하네 무슨 초딩이냐나도 윤석렬이 국짐으로 갔으면 좋겠어 쟤들 당은 정치철학 이딴거 없고 그냥 반문이 정체성네 저런새끼가 정의를 이야기 하네여당에서 윤석열 전 검찰총장 부인과 장모에 대해 공격하면 충분히 받아치고 역효과까지 상대 쪽에 넘길 해법이 있다윤 전 총장이 만약 우리 당에 들어와 함께 한다면 제가 윤 총장 쪽에 비단 주머니 개를 드리겠다 급할 때마다 하나씩 열면 된다 제갈량 나셨네 비단주머니개가 뭘까 혜경궁김씨 문재인 대통령 공격할건 없을거고 조국 전 장관 뭘까 저 비단주머니 개가정치인이 자기 가치 높인답시고 허풍떠는건 많이 봤는데이런건 또 처음보네동화속 도사님이야방구석 제갈량이냐윤석열은 검찰떄 저지른 짓으로도 충분히 망할 것 같은데 재보선 결과를 보면 그걸로는 망하지 않을듯오히려 한미정상회담 후속으로 임기내 종전선언 이끌어내는게 우리쪽에 훨씬 더 이득일거야그 짤이 필요하다누구나 계획은 있다 쳐맞기 전까진장모 처가 언급한것만으로 똥볼 아닌가제일 중요한건 준석이는 국회의원을 한적이 없다 정작 자신 앞가림도 잘 못함  지금은 그저 렉카질 하나로 조금 잘나간다뿐이지 당대표 선거 이후 추락길만 있을껄찢새기를 만주당 후보로 미는 것이 비책이라고 생각하고 있구먼옛날부터 지가 제갈량인줄 착각하고 나대다가 죶된 놈들이 그렇게 많다던데썩열이 장모 문제를 혜경궁 문제로 덮어버리기 그거 뻔하잖아 윤씨처를 혜경궁으로 덮겠다 조작하고 여론몰이하고 개검이 공소제기안하고늘 같은패턴근데 맹바기도 빵갔자나준슥이가 썩렬이 죄진줄은 아나밬본인도 계속 낙선하면서 무슨 오지랍 전직 검총보다 더 신박한 방어수단이 있다니 무협지나 삼국지 너무 많이 봤구나
조국의 시간 차트 올킬이네 ,하 이런데도 손절해야 한다던 그놈의 여론 대변자들 오히려 남은 년 안에 명예회복을 해야대선때 국민들이 왜 검찰개혁이 필요한지를 깨닫는건데그런 의미에서 지금 같을 때 민주당이 더 호응을 해줘야지,멍청이들이지들 찍어주는사람들연론은 무시하고엉뚱한것들이 씨부리는거에동조하면어쩌자는거야그런다고걔들이니들 찍어줄거같냐이런거 보면 확실히민주당이 무능하다라는 여론조사는못 지켜줘서 무능하다 라는 의미가 맞는듯그렇게 많진 않겠지만 조국을 공격한 자들도 내용 분석을 위해 구입하긴 했을듯확실히 이런거 보면 민주당 지지자들이 여론에서 과소 대표되는 느낌이란말이지연론여론멍청이들이지들 찍어주는사람들연론은 무시하고엉뚱한것들이 씨부리는거에동조하면어쩌자는거야그런다고걔들이니들 찍어줄거같냐연론여론이런거 보면 확실히민주당이 무능하다라는 여론조사는못 지켜줘서 무능하다 라는 의미가 맞는듯그렇게 많진 않겠지만 조국을 공격한 자들도 내용 분석을 위해 구입하긴 했을듯베스트셀러는 호기심이 만들어내지반대하는 사람들도 꽤 샀을 거야확실히 이런거 보면 민주당 지지자들이 여론에서 과소 대표되는 느낌이란말이지민주당 이것들아제발 좀 자다가 봉창 두드리는 소리 말고 언론·검찰 개혁 속도 내라고어디서 차트에 없는데올킬한 차트를 링크를 걸어주면 되는 거 아닌가 왜 비추를 누르지
한강 코난들 됬음 ,로펌에서 고소하기로 함 ,인터넷 글 흔적없이 박제걱정 없이 삭제해 드립니다 광고 달아두면 수익 달달하겟네 이거 아니래아직 로펌에서는 고소계획없다고 했고 코난들한테 빡친 사람들이 자발적으로 보내자고 올린 글이래우선 렉카놈들 먹은거 토했으면우선 렉카놈들 먹은거 토했으면인터넷 글 흔적없이 박제걱정 없이 삭제해 드립니다 광고 달아두면 수익 달달하겟네 이거 아니래아직 로펌에서는 고소계획없다고 했고 코난들한테 빡친 사람들이 자발적으로 보내자고 올린 글이래변호사가 아니라로펌이면기둥 개는 뽑힐꺼야인생을 값지게 보내네 아녀 저거 친구네서 모은다는 게 아니라 저거 시민들이 자발적으로 보내는 거라고 그러던데내가 봐서는 머리 쓰는 녀석들은 교묘하게 명예훼손 될만한거 피해감거기다가 저거 씨가 직접 하는거 아니면 의미 없어 보이는데
군은 돈 땡겨서 이민가야 쓰겄다,진실이고 뭐고간에 아무튼 꼬리표는 계속 남아있을거임타블로도 여전히 아무튼 방송에서 구라쳤으니까 의심은 할만했단 소리 나오는 마당임본인이 에픽하이 빨아댈 당시에 타진요 터져서 잘 암,그러는게 나을 둣그러는게 나을 둣
한강사건 친구 허위사실유포 자료 수집중,,요즘은 인성도 능력이지 능력주의 신봉자들 많더만 알아서 자연도태되길 기원함그래  보내야지 그동안 받은 상처를 보상받길 바랍니다그래  보내야지 요즘은 인성도 능력이지 능력주의 신봉자들 많더만 알아서 자연도태되길 기원함응 능력주의랑 상관이 있나그동안 받은 상처를 보상받길 바랍니다지들이 불리한거 반박당한건 빼먹고 댓글 쓰더라코인 달달하게 뽑았으니 이제 그 대상한테 인센티브 거하게 지급들 하심 되겠네 이거 걍 사람들이 자발적으로 하는거라 친구 의사는 없대저거 진짜 마즘그냥 사람들이 하는거지 당연히 그 친구랑은 상관 없음
그알 그만해 주세요,,혹시 북유게이야얘 저거 원조는 디씨 일뽕 겨냥이란다혹시 북유게이야얘 저거 원조는 디씨 일뽕 겨냥이란다
